"country,iso3,pillar,module,indicator_id,indicator_name,indicator_type,variable_name,question,hierarchy_level,data_type,response,response_value,normalized_response_value,weight,score,parent,row_order,question_order,wip,wib,wim,regional_hub,un_region,barometer_region,city,city_ascii,lat,lng,iso2,capital,Capa",
"Albania,ALB,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,The information has been received from the official websites of the above mentions institutions.,3.0,1.0,1.0,76.50000000000001,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Open Data Kosovo,Southern Europe,Eastern Europe and Central Asia,Tirana,Tirana,41.3289,19.8178,AL,primary,Capacidades",
"Angola,AGO,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""Angola does not have a data literacy training plan for civil servants. However, in 2018 the executive approved a development plan that will be implemented by 2022.",
,
"In one of the plan's chapters, the government states that it will carry out trainings to ensure that civil servants acquire skills in many areas of management.",
,
The same plan is divided into annual strategies that are implemented over 12 months. There is no indication on training to develop civil servants' data literacy and data skills.,
,
Sources,
(1) https://2021-files.globaldatabarometer.org/167/YRvVTX4-Angola_2018_Planning_External_NationalPlan_MinFin_ECCASSADC_Portuguese.pdf,
"(2): https://governo.gov.ao/ao/noticias/aprovado-plano-de-desenvolvimento-nacional-para-2021/"",0.0,0.0,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,Local Development Research Institute (LDRI),Middle Africa,Africa,Luanda,Luanda,-8.8383,13.2344,AO,primary,Capacidades",
"Argentina,ARG,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The country has lots of open data activist, civil organization working in open data, open gov movement. Many of them are part of the national Board of the OGP process.",
"Also, there are some academics actors into the open data environment working closed to OGP National and local plans, National Open Gov policies and open data movement (IE.Conicet,+datalab_UNR,Ciecti,UnCuyo,Ucel,CETYS) ",
,
That multiactor ecosytem helps to strengthen the initiatives and supports the governmental policy.,
"However, the training initiatives for public servants about the topics of the survey are a few cases. The main actor for this is the INAP (Instituto Nacional de la Administración Pública)(1)",
"The topics about open data, data sharing and data roles can be a task into the new (2021) Federal Plan Program.(2)",
,
,
Sources:,
(1) https://capacitacion.inap.gob.ar/cursos/,
,
"(2) Federal Plan, Open Gov Training (2021), Retrieved from https://www.argentina.gob.ar/noticias/comenzo-la-implementacion-del-programa-federal-de-gobierno-abierto"",2.0,0.6666666666666666,1.0,40.80000000000001,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,ILDA,South America,Latin America and the Caribbean,Buenos Aires,Buenos Aires,-34.6033,-58.3817,AR,primary,Capacidades",
"Armenia,ARM,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The Civil Service Office of the Staff of the Prime Minister of the Republic of Armenia is going to offer training for civil servants on Data Collection and Analysis starting from September 2021 (1). The Civil Service Office recognizes data gathering and analysis as a core competency for civil servants (2). The training will have both in-person and remote modules. The training is mandatory for all civil servants of the country. The Public Administration Academy of RA won the bid to conduct the training (3). ",
,
Sources,
(1): https://cso.gov.am/training-programs,
(2): https://cso.gov.am/sections/competence,
"(3): Phone Interview with a representative of the Civil Service Office of the Staff of the Prime Minister of the Republic of Armenia"",0.0,0.0,1.0,0.0,C.CAPABILITIES.TRAIN,0.0,51025.0,0.12,0.0288,0.095,IDFI Georgia,Western Asia,Eastern Europe and Central Asia,Yerevan,Yerevan,40.1814,44.5144,AM,primary,Capacidades",
"Australia,AUS,Capabilities,CAPABILITIES,C.CAPABILITIES.TRAIN,Capability (C): Civil service,Primary,C.CAPABILITIES.TRAIN,To what extent is the government providing training to develop civil servants' data literacy and data skills?,1,response,""The Data Skills and Capability in the Public Service document lists opportunities available for all Australian public servants in technical and non-technical roles; to increase their literacy and/or become experts in data management. These include Fellowships, potential financial support to undertake relevant tertiary education, online modules, and short courses. These appear to be optional and dependent on branch approval. ",
,
Anecdotal information gathered through personal correspondence with ex-Australian public servants suggests that although there are efforts in some government departments to formalise data literacy standards into position descriptions this is not uniform across the public sector.,
,
Sources:,
"1. Department of Prime Minister and Cabinet, 2020, Data Skills and Capability in the Australian Public Service, https://pmc.gov.au/sites/default/files/publications/data-skills-capability.pdf",
,
Bibliography:,
,
https://community.digital.gov.au/c/open-data/30,
,
"Australian Government, Department of Prime Minister and Cabinet, 2019, Best Practice to Applying Data Sharing Principles, https://pmc.gov.au/sites/default/files/publications/data-sharing-principles-best-practice-guide-15-mar-2019_0.pdf ",
,
"Australian Government, Linked Data Working Group, https://www.linked.data.gov.au/",
,
"Australian Public Service Academy, Data Literacy - Module 1: Using data in the APS (eLearning), https://apslearn.apsc.gov.au/Course/4511/Details/Data-Literacy-Module-1-Using-data-in-the-APS-eLearning",
,
"Australian Public Service Commission, APS Data Professional Stream Strategy, https://www.apsc.gov.au/publication/aps-data-professional-stream-strategy",
